,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,3,94,9.4,5,0,10.719999999999999,13.279999999999998,0.9767592592592592,0.2656,5,13.4,0.9796111111111112,0.268,11.0,0,986762518570,50,66.82274127006531,13.2,0.974888888888889,0.264,9.2,1,952039434492,50,75.49067234992981,13.2,0.9788518518518519,0.264,10.6,2,345664075654,50,69.9727737903595,13.4,0.9759444444444444,0.268,10.8,3,460462409076,50,73.71084094047546,13.2,0.9744999999999999,0.264,12.0,4,732505190116,50,74.30355191230774,360.3005802631378,75.84341168403625
1,9,185,18.5,5,0,34.64,45.64,0.9737901234567902,0.9128000000000001,5,45.2,0.9690802469135803,0.904,36.6,5,986762518570,50,120.93193769454956,45.6,0.9731358024691359,0.912,38.2,6,952039434492,50,117.70173692703247,45.2,0.9692777777777777,0.904,33.4,7,345664075654,50,120.53789949417114,46.4,0.9789876543209878,0.928,33.0,8,460462409076,50,115.7589259147644,45.8,0.9784691358024692,0.916,32.0,9,732505190116,50,115.74132680892944,590.671826839447,121.05252695083618
2,8,126,12.6,5,0,27.8,38.4,0.9784375000000001,0.768,5,38.4,0.9769652777777778,0.768,26.6,10,986762518570,50,123.20476150512695,38.2,0.9788611111111112,0.764,27.8,11,952039434492,50,124.17464709281921,38.6,0.9848402777777778,0.772,30.6,12,345664075654,50,119.27954316139221,38.4,0.9739444444444445,0.768,27.0,13,460462409076,50,125.04594826698303,38.4,0.9775763888888889,0.768,27.0,14,732505190116,50,122.13594198226929,613.8408420085907,125.04836058616638
3,9,29,2.9,5,0,18.8,27.52,0.9723222222222223,0.5504,5,27.6,0.971604938271605,0.552,17.2,15,986762518570,50,211.4069664478302,27.0,0.9614074074074074,0.54,19.0,16,952039434492,50,236.2410864830017,26.8,0.9727716049382715,0.536,17.8,17,345664075654,50,215.05610752105713,28.0,0.9747037037037036,0.56,21.0,18,460462409076,50,204.1284201145172,28.2,0.9811234567901234,0.564,19.0,19,732505190116,50,187.44595861434937,1054.2785391807556,236.24338245391846
4,2,135,13.5,5,0,7.2,9.559999999999999,0.9813666666666666,0.19119999999999998,5,9.6,0.9791388888888888,0.192,5.4,20,986762518570,50,44.632073163986206,9.6,0.9908333333333332,0.192,7.2,21,952039434492,50,35.95476007461548,9.6,0.978388888888889,0.192,7.6,22,345664075654,50,47.482218742370605,9.4,0.9682777777777778,0.188,9.0,23,460462409076,50,54.42317748069763,9.6,0.9901944444444445,0.192,6.8,24,732505190116,50,36.50351357460022,218.99574303627014,54.42594337463379
5,2,185,18.5,5,0,8.08,10.0,0.9722500000000001,0.2,5,10.0,0.967,0.2,7.4,25,986762518570,50,54.90156579017639,10.0,0.9784722222222223,0.2,9.4,26,952039434492,50,43.15216398239136,10.0,0.9632777777777777,0.2,7.6,27,345664075654,50,57.49091601371765,10.0,0.9763888888888889,0.2,8.4,28,460462409076,50,45.31214928627014,10.0,0.9761111111111112,0.2,7.6,29,732505190116,50,47.98319625854492,248.83999133110046,57.493608474731445
6,4,160,16.0,5,0,14.719999999999999,19.919999999999998,0.9743166666666667,0.3984,5,19.8,0.9706249999999998,0.396,13.6,30,986762518570,50,83.68719577789307,20.2,0.9744861111111112,0.404,14.8,31,952039434492,50,78.15367150306702,19.8,0.9772777777777778,0.396,16.4,32,345664075654,50,76.41714978218079,19.8,0.974986111111111,0.396,14.8,33,460462409076,50,83.36639022827148,20.0,0.9742083333333333,0.4,14.0,34,732505190116,50,77.18928813934326,398.8136954307556,83.68939208984375
7,7,41,4.1,5,0,18.360000000000003,24.68,0.9839142857142857,0.4936,5,25.2,0.9886507936507937,0.504,19.4,35,986762518570,50,135.19534254074097,24.8,0.9863492063492062,0.496,16.8,36,952039434492,50,139.70110440254211,24.2,0.9821587301587302,0.484,19.6,37,345664075654,50,147.17922401428223,24.6,0.9829761904761906,0.492,18.0,38,460462409076,50,144.14641070365906,24.6,0.9794365079365079,0.492,18.0,39,732505190116,50,153.0974669456482,719.3195486068726,153.10088920593262
8,8,90,9.0,5,0,28.360000000000003,35.76,0.9780194444444443,0.7152,5,35.8,0.9755972222222222,0.716,29.2,40,986762518570,50,133.97379326820374,35.4,0.9755416666666668,0.708,27.6,41,952039434492,50,137.1477551460266,36.2,0.9834444444444445,0.724,25.6,42,345664075654,50,126.39951467514038,36.0,0.9815902777777777,0.72,27.0,43,460462409076,50,133.86300253868103,35.4,0.9739236111111111,0.708,32.4,44,732505190116,50,141.93955659866333,673.3236222267151,141.94323563575745
9,9,86,8.6,5,0,30.679999999999996,39.96,0.9772320987654322,0.7992000000000001,5,39.6,0.976820987654321,0.792,34.6,45,986762518570,50,146.22649312019348,40.2,0.9780432098765431,0.804,30.4,46,952039434492,50,141.78317666053772,39.6,0.9778271604938271,0.792,33.6,47,345664075654,50,146.96649837493896,40.2,0.9738271604938272,0.804,26.8,48,460462409076,50,146.32961082458496,40.2,0.979641975308642,0.804,28.0,49,732505190116,50,138.77201747894287,720.077796459198,146.9695179462433
