,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,sequential_execution_time,execution_time,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4
0,9,194,19.4,5,0,32.6,46.6,0.9854506172839508,0.466,1,46.6,0.9854506172839508,0.466,32.6,1,540031597186,100,183.14705991744995,183.14705991744995,244.4454436302185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,104,10.4,5,0,10.2,13.8,0.9867407407407406,0.138,1,13.8,0.9867407407407406,0.138,10.2,6,540031597186,100,87.20354580879211,87.20354580879211,141.03118658065796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,114,11.4,5,0,31.4,42.6,0.9756728395061729,0.426,1,42.6,0.9756728395061729,0.426,31.4,11,540031597186,100,282.67489767074585,282.67489767074585,293.69855785369873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,81,8.1,5,0,26.8,35.0,0.9806250000000001,0.35,1,35.0,0.9806250000000001,0.35,26.8,16,540031597186,100,248.43358731269836,248.43358731269836,304.60322308540344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,148,14.8,5,0,29.4,39.4,0.9718888888888889,0.394,1,39.4,0.9718888888888889,0.394,29.4,21,540031597186,100,270.51088428497314,270.51088428497314,270.774738073349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,159,15.9,5,0,21.4,35.0,0.9713333333333333,0.35,1,35.0,0.9713333333333333,0.35,21.4,26,540031597186,100,230.3910460472107,230.3910460472107,257.4635286331177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,140,14.0,5,0,19.4,24.4,0.9785333333333334,0.244,1,24.4,0.9785333333333334,0.244,19.4,31,540031597186,100,155.05250239372253,155.05250239372253,173.31679129600525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,106,10.6,5,0,27.2,37.2,0.9783194444444444,0.372,1,37.2,0.9783194444444444,0.372,27.2,36,540031597186,100,245.56493639945984,245.56493639945984,260.66238713264465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,63,6.3,5,0,7.8,12.0,0.9770370370370368,0.12,1,12.0,0.9770370370370368,0.12,7.8,41,540031597186,100,125.17077112197876,125.17077112197876,159.4525945186615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,30,3.0,5,0,21.8,28.2,0.9798333333333333,0.282,1,28.2,0.9798333333333333,0.282,21.8,46,540031597186,100,338.581006526947,338.581006526947,387.4950428009033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
